 Total Nb of available Diagnostics: ndiagt=   198
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
    98 |TOTVTEND|198 |    97 |VVR     MR|m/s/day         |Tendency of Meridional Component of Velocity
    99 |TOTTTEND|198 |       |SMR     MR|degC/day        |Tendency of Potential Temperature
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   100 |TOTSTEND|198 |       |SMR     MR|g/kg/day        |Tendency of Absolute Salinity
   101 |MoistCor|198 |       |SM      MR|W/m^2           |Heating correction due to moist thermodynamics
   102 |gT_Forc |198 |       |SMR     MR|degC/s          |Potential Temp. forcing tendency
   103 |gS_Forc |198 |       |SMR     MR|g/kg/s          |Absolute Salinity forcing tendency
   104 |AB_gT   |198 |       |SMR     MR|degC/s          |Potential Temp. tendency from Adams-Bashforth
   105 |AB_gS   |198 |       |SMR     MR|g/kg/s          |Absolute Salinity tendency from Adams-Bashforth
   106 |gTinAB  |198 |       |SMR     MR|degC/s          |Potential Temp. tendency going in Adams-Bashforth
   107 |gSinAB  |198 |       |SMR     MR|g/kg/s          |Absolute Salinity tendency going in Adams-Bashforth
   108 |AB_gU   |198 |   109 |UUR     MR|m/s^2           |U momentum tendency from Adams-Bashforth
   109 |AB_gV   |198 |   108 |VVR     MR|m/s^2           |V momentum tendency from Adams-Bashforth
   110 |AB_gW   |198 |       |WM      LR|m/s^2           |W momentum tendency from Adams-Bashforth
   111 |ADVr_TH |198 |       |WM      LR|degC.m^3/s      |Vertical   Advective Flux of Pot.Temperature
   112 |ADVx_TH |198 |   113 |UU      MR|degC.m^3/s      |Zonal      Advective Flux of Pot.Temperature
   113 |ADVy_TH |198 |   112 |VV      MR|degC.m^3/s      |Meridional Advective Flux of Pot.Temperature
   114 |DFrE_TH |198 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Explicit part)
   115 |DFxE_TH |198 |   116 |UU      MR|degC.m^3/s      |Zonal      Diffusive Flux of Pot.Temperature
   116 |DFyE_TH |198 |   115 |VV      MR|degC.m^3/s      |Meridional Diffusive Flux of Pot.Temperature
   117 |DFrI_TH |198 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Implicit part)
   118 |ADVr_SLT|198 |       |WM      LR|g/kg.m^3/s      |Vertical   Advective Flux of Salinity
   119 |ADVx_SLT|198 |   120 |UU      MR|g/kg.m^3/s      |Zonal      Advective Flux of Salinity
   120 |ADVy_SLT|198 |   119 |VV      MR|g/kg.m^3/s      |Meridional Advective Flux of Salinity
   121 |DFrE_SLT|198 |       |WM      LR|g/kg.m^3/s      |Vertical Diffusive Flux of Salinity    (Explicit part)
   122 |DFxE_SLT|198 |   123 |UU      MR|g/kg.m^3/s      |Zonal      Diffusive Flux of Salinity
   123 |DFyE_SLT|198 |   122 |VV      MR|g/kg.m^3/s      |Meridional Diffusive Flux of Salinity
   124 |DFrI_SLT|198 |       |WM      LR|g/kg.m^3/s      |Vertical Diffusive Flux of Salinity    (Implicit part)
   125 |SALTFILL|198 |       |SM      MR|g/kg.m^3/s      |Filling of Negative Values of Salinity
   126 |VISCAHZ |198 |       |SZ      MR|m^2/s           |Harmonic Visc Coefficient (m2/s) (Zeta Pt)
   127 |VISCA4Z |198 |       |SZ      MR|m^4/s           |Biharmonic Visc Coefficient (m4/s) (Zeta Pt)
   128 |VISCAHD |198 |       |SM      MR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (Div Pt)
   129 |VISCA4D |198 |       |SM      MR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (Div Pt)
   130 |VISCAHW |198 |       |WM      LR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (W Pt)
   131 |VISCA4W |198 |       |WM      LR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (W Pt)
   132 |VAHZMAX |198 |       |SZ      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Zeta Pt)
   133 |VA4ZMAX |198 |       |SZ      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Zeta Pt)
   134 |VAHDMAX |198 |       |SM      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Div Pt)
   135 |VA4DMAX |198 |       |SM      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Div Pt)
   136 |VAHZMIN |198 |       |SZ      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Zeta Pt)
   137 |VA4ZMIN |198 |       |SZ      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Zeta Pt)
   138 |VAHDMIN |198 |       |SM      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Div Pt)
   139 |VA4DMIN |198 |       |SM      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Div Pt)
   140 |VAHZLTH |198 |       |SZ      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Zeta Pt)
   141 |VA4ZLTH |198 |       |SZ      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Zeta Pt)
   142 |VAHDLTH |198 |       |SM      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Div Pt)
   143 |VA4DLTH |198 |       |SM      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Div Pt)
   144 |VAHZLTHD|198 |       |SZ      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Zeta Pt)
   145 |VA4ZLTHD|198 |       |SZ      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Zeta Pt)
   146 |VAHDLTHD|198 |       |SM      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Div Pt)
   147 |VA4DLTHD|198 |       |SM      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Div Pt)
   148 |VAHZSMAG|198 |       |SZ      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Zeta Pt)
   149 |VA4ZSMAG|198 |       |SZ      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Zeta Pt)
   150 |VAHDSMAG|198 |       |SM      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Div Pt)
   151 |VA4DSMAG|198 |       |SM      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Div Pt)
   152 |momKE   |198 |       |SMR     MR|m^2/s^2         |Kinetic Energy (in momentum Eq.)
   153 |momHDiv |198 |       |SMR     MR|s^-1            |Horizontal Divergence (in momentum Eq.)
   154 |momVort3|198 |       |SZR     MR|s^-1            |3rd component (vertical) of Vorticity
   155 |Strain  |198 |       |SZR     MR|s^-1            |Horizontal Strain of Horizontal Velocities
   156 |Tension |198 |       |SMR     MR|s^-1            |Horizontal Tension of Horizontal Velocities
   157 |Stretch |198 |       |SM      MR|s^-1            |Vortex stretching from QG Leith dynamic viscosity
   158 |USidDrag|198 |   159 |UUR     MR|m/s^2           |U momentum tendency from Side Drag
   159 |VSidDrag|198 |   158 |VVR     MR|m/s^2           |V momentum tendency from Side Drag
   160 |Um_Diss |198 |   161 |UUR     MR|m/s^2           |U momentum tendency from Dissipation (Explicit part)
   161 |Vm_Diss |198 |   160 |VVR     MR|m/s^2           |V momentum tendency from Dissipation (Explicit part)
   162 |Um_ImplD|198 |   163 |UUR     MR|m/s^2           |U momentum tendency from Dissipation (Implicit part)
   163 |Vm_ImplD|198 |   162 |VVR     MR|m/s^2           |V momentum tendency from Dissipation (Implicit part)
   164 |Um_Advec|198 |   165 |UUR     MR|m/s^2           |U momentum tendency from Advection terms
   165 |Vm_Advec|198 |   164 |VVR     MR|m/s^2           |V momentum tendency from Advection terms
   166 |Um_Cori |198 |   167 |UUR     MR|m/s^2           |U momentum tendency from Coriolis term
   167 |Vm_Cori |198 |   166 |VVR     MR|m/s^2           |V momentum tendency from Coriolis term
   168 |Um_dPhiX|198 |   169 |UUR     MR|m/s^2           |U momentum tendency from Pressure/Potential grad
   169 |Vm_dPhiY|198 |   168 |VVR     MR|m/s^2           |V momentum tendency from Pressure/Potential grad
   170 |Um_Ext  |198 |   171 |UUR     MR|m/s^2           |U momentum tendency from external forcing
   171 |Vm_Ext  |198 |   170 |VVR     MR|m/s^2           |V momentum tendency from external forcing
   172 |Um_hDis2|198 |   173 |UUR     MR|m/s^2           |U momentum tendency from harmonic visc alone
   173 |Vm_hDis2|198 |   172 |VVR     MR|m/s^2           |V momentum tendency from harmonic visc alone
   174 |Um_hDis4|198 |   175 |UUR     MR|m/s^2           |U momentum tendency from biharmonic visc alone
   175 |Vm_hDis4|198 |   174 |VVR     MR|m/s^2           |V momentum tendency from biharmonic visc alone
   176 |Um_AdvZ3|198 |   177 |UUR     MR|m/s^2           |U momentum tendency from Vorticity Advection
   177 |Vm_AdvZ3|198 |   176 |VVR     MR|m/s^2           |V momentum tendency from Vorticity Advection
   178 |Um_AdvRe|198 |   179 |UUR     MR|m/s^2           |U momentum tendency from vertical Advection (Explicit part)
   179 |Vm_AdvRe|198 |   178 |VVR     MR|m/s^2           |V momentum tendency from vertical Advection (Explicit part)
   180 |Wm_Diss |198 |       |WMr     LR|m/s^2           |W momentum tendency from Dissipation
   181 |Wm_Advec|198 |       |WMr     LR|m/s^2           |W momentum tendency from Advection terms
   182 |WSidDrag|198 |       |WMr     LR|m/s^2           |Vertical momentum tendency from Side Drag
   183 |botTauX |  1 |   184 |UU      U1|N/m^2           |zonal bottom stress, >0 increases uVel
   184 |botTauY |  1 |   183 |VV      U1|N/m^2           |meridional bottom stress, >0 increases vVel
   185 |ADVx_Um |198 |   186 |UM      MR|m^4/s^2         |Zonal      Advective Flux of U momentum
   186 |ADVy_Um |198 |   185 |VZ      MR|m^4/s^2         |Meridional Advective Flux of U momentum
   187 |ADVrE_Um|198 |       |WU      LR|m^4/s^2         |Vertical   Advective Flux of U momentum (Explicit part)
   188 |ADVx_Vm |198 |   189 |UZ      MR|m^4/s^2         |Zonal      Advective Flux of V momentum
   189 |ADVy_Vm |198 |   188 |VM      MR|m^4/s^2         |Meridional Advective Flux of V momentum
   190 |ADVrE_Vm|198 |       |WV      LR|m^4/s^2         |Vertical   Advective Flux of V momentum (Explicit part)
   191 |VISCx_Um|198 |   192 |UM      MR|m^4/s^2         |Zonal      Viscous Flux of U momentum
   192 |VISCy_Um|198 |   191 |VZ      MR|m^4/s^2         |Meridional Viscous Flux of U momentum
   193 |VISrE_Um|198 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Explicit part)
   194 |VISrI_Um|198 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Implicit part)
   195 |VISCx_Vm|198 |   196 |UZ      MR|m^4/s^2         |Zonal      Viscous Flux of V momentum
   196 |VISCy_Vm|198 |   195 |VM      MR|m^4/s^2         |Meridional Viscous Flux of V momentum
   197 |VISrE_Vm|198 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Explicit part)
   198 |VISrI_Vm|198 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Implicit part)
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
